"subject_id","school","sex","ageyr","agemo","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"hs_001","Pasteur",1,13,1,3.3333333,7.75,0.375,2.3333333,5.75,1.2857143,3.3913043,5.75,6.3611111
"hs_002","Pasteur",2,13,7,5.3333333,5.25,2.125,1.6666667,3,1.2857143,3.7826087,6.25,7.9166667
"hs_003","Pasteur",2,13,1,4.5,5.25,1.875,1,1.75,0.42857143,3.2608696,3.9,4.4166667
"hs_004","Pasteur",1,13,2,5.3333333,7.75,3,2.6666667,4.5,2.4285714,3,5.3,4.8611111
"hs_005","Pasteur",2,12,2,4.8333333,4.75,0.875,2.6666667,4,2.5714286,3.6956522,6.3,5.9166667
"hs_006","Pasteur",2,14,1,5.3333333,5,2.25,1,3,0.85714286,4.3478261,6.65,7.5
"hs_007","Pasteur",1,12,1,2.8333333,6,1,3.3333333,6,2.8571429,4.6956522,6.2,4.8611111
"hs_008","Pasteur",2,12,2,5.6666667,6.25,1.875,3.6666667,4.25,1.2857143,3.3913043,5.15,3.6666667
"hs_009","Pasteur",2,13,0,4.5,5.75,1.5,2.6666667,5.75,2.7142857,4.5217391,4.65,7.3611111
"hs_010","Pasteur",2,12,5,3.5,5.25,0.75,2.6666667,5,2.5714286,4.1304348,4.55,4.3611111
"hs_011","Pasteur",1,12,2,3.6666667,5.75,2,2,3.5,1.5714286,3.7391304,5.7,4.3055556
"hs_012","Pasteur",1,12,11,5.8333333,6,2.875,2.6666667,4.5,2.7142857,3.6956522,5.15,4.1388889
"hs_013","Pasteur",2,12,7,5.6666667,4.5,4.125,2.6666667,4,2.2857143,5.8695652,5.2,5.8611111
"hs_014","Pasteur",2,12,8,6,5.5,1.75,4.6666667,4,1.5714286,5.1304348,4.7,4.4444444
"hs_015","Pasteur",1,12,6,5.8333333,5.75,3.625,5,5.5,3,4,4.35,5.8611111
"hs_016","Pasteur",2,12,1,4.6666667,4.75,2.375,2.6666667,4.25,0.71428571,4.0869565,3.8,5.1388889
"hs_017","Pasteur",2,14,11,4.3333333,4.75,1.5,2,4,1.2857143,3.6956522,6.65,5.25
"hs_018","Pasteur",1,13,5,5,6.75,2.25,2,2.5,1.7142857,4,5.25,5.4444444
"hs_019","Pasteur",2,12,8,5.6666667,5.25,4,4.3333333,5.25,3.7142857,3.9130435,4.85,5.75
"hs_020","Pasteur",2,12,3,6.3333333,8.75,3,3.6666667,3.75,2.5714286,3.4782609,5.35,4.9166667
"hs_021","Pasteur",1,14,10,5.8333333,8,2,1.6666667,2.5,0.57142857,2.6086957,4.6,5.3888889
"hs_022","Pasteur",1,12,9,6.6666667,8.5,4.125,2,3.25,2.1428571,4.4782609,5.45,7
"hs_023","Pasteur",1,12,11,5,6.25,1.875,3.3333333,5.75,3.1428571,3.4782609,4.6,5
"hs_024","Pasteur",2,12,8,3.8333333,5.5,1.625,2.6666667,3,1,5.826087,5.3,6.7777778
"hs_025","Pasteur",1,12,3,5.6666667,5.5,1.25,2.3333333,3.75,1.2857143,4.6956522,4.6,4.1388889
"hs_026","Pasteur",1,12,7,5.3333333,4,3.375,1.6666667,3.5,1.4285714,5.7391304,6.25,4.3333333
"hs_027","Pasteur",1,12,8,5.5,5.25,4.5,2.6666667,2.25,0.71428571,4.1304348,5.1,4.5277778
"hs_028","Pasteur",2,13,2,6,5,2.125,1.6666667,3,1.1428571,2.826087,5.55,4.4166667
"hs_029","Pasteur",2,12,5,4.6666667,6,4.25,2,3,2,5.1304348,5.85,8.6111111
"hs_030","Pasteur",2,12,2,5,4.5,0.75,2.6666667,3.25,1.8571429,4.6521739,4.85,5.4444444
"hs_031","Pasteur",2,12,7,3.5,5.75,1.375,2,3.5,1.8571429,4.826087,6.95,5.9722222
"hs_032","Pasteur",1,16,0,3,6,0.25,1.6666667,3,1,2.0434783,3.65,3.3611111
"hs_033","Pasteur",2,12,2,5,5.25,1.75,2.6666667,5.25,2,2.6956522,4.3,4.8055556
"hs_034","Pasteur",2,12,3,4.1666667,6,2.375,3.3333333,4.25,1.8571429,5.3913043,4.35,5.6388889
"hs_035","Pasteur",2,13,3,3.3333333,3.75,1.5,1.3333333,3,0.85714286,2.7826087,5.2,4.8333333
"hs_036","Pasteur",1,13,10,4.8333333,5.25,0.5,1.6666667,4.75,1.4285714,3.1304348,3.75,4.9166667
"hs_037","Pasteur",1,12,9,5.5,7,3.5,2.6666667,4,2,3.826087,4,5.3055556
"hs_038","Pasteur",2,12,8,3.8333333,4.5,2.25,3,3,1.7142857,4.0869565,3.5,5.0833333
"hs_039","Pasteur",2,12,6,6.3333333,4,3.875,4,5.25,3.2857143,5.5217391,5.45,5.1111111
"hs_040","Pasteur",1,12,5,5.8333333,7.75,2.5,3,5.25,3.1428571,3.2173913,4.5,4.8888889
"hs_041","Pasteur",2,12,1,3.8333333,5.75,1.625,2.6666667,4.25,2.1428571,4.9130435,5.1,4.6388889
"hs_042","Pasteur",2,13,6,3.1666667,5,1.25,1.6666667,4.25,1.5714286,2.826087,5.3,4.7777778
"hs_043","Pasteur",2,13,8,1.8333333,5.25,1,1.6666667,3.75,0.57142857,3.9565217,4.75,2.7777778
"hs_044","Pasteur",1,14,8,4.1666667,5.25,1.875,2,3,1.4285714,3.9565217,5.6,6.6666667
"hs_045","Pasteur",1,14,2,6.3333333,5.5,2.75,4.6666667,5.5,2,5.3913043,5,6.8611111
"hs_046","Pasteur",1,13,7,6,5.5,4.5,3,4.25,1.2857143,4.826087,5,5
"hs_047","Pasteur",1,13,5,7.1666667,8.5,4,0.66666667,1,1,3.3478261,6.35,6.2777778
"hs_048","Pasteur",2,13,6,3.1666667,4.75,1.375,2.6666667,3.25,1.2857143,6.1304348,8,5.4444444
"hs_049","Pasteur",1,12,11,4.3333333,5.5,2.75,2,2.25,1,5.6521739,5.9,6.0555556
"hs_050","Pasteur",2,13,2,4.5,6.25,1.125,3.6666667,5.5,2.1428571,2.5652174,4.8,5.5277778
"hs_051","Pasteur",1,13,7,5.5,5.75,3.75,1.6666667,2.25,0.14285714,2.3478261,5.05,5.5
"hs_052","Pasteur",1,12,4,7,6,2.125,2.3333333,4.5,1.4285714,3.6521739,5.15,4.7777778
"hs_053","Pasteur",1,15,7,3.8333333,7.5,3.25,0.66666667,1.5,0.14285714,3.2608696,4.2,5.3888889
"hs_054","Pasteur",1,13,4,5.1666667,4.75,1.75,3.3333333,3.5,2.1428571,3.4782609,5.1,4.1944444
"hs_055","Pasteur",1,12,8,5,6,4.125,2,4.5,2.1428571,4.173913,4.8,4.4166667
"hs_056","Pasteur",1,14,4,5.6666667,5.25,2.125,2.6666667,4.5,1.4285714,4.0434783,5.7,5.5555556
"hs_057","Pasteur",1,16,2,4,4.75,3.25,1.6666667,3,1.7142857,4.173913,5.25,5.6388889
"hs_058","Pasteur",1,13,3,5.8333333,5.25,3.875,2.6666667,5.5,2.4285714,3.4347826,5.8,4.75
"hs_059","Pasteur",2,14,0,3.8333333,6.5,2,1,2.5,1.2857143,3.3913043,4.55,4.8333333
"hs_060","Pasteur",1,15,3,4.1666667,5.75,1.75,1.3333333,3,1,3.5217391,6.15,3.9444444
"hs_061","Pasteur",2,12,5,5.3333333,5.75,3.375,4,5.5,2.5714286,5.2608696,6.2,6.1388889
"hs_062","Pasteur",2,12,9,4,6,3.625,2.6666667,5,2.1428571,4.9130435,5.35,4.7777778
"hs_063","Pasteur",2,12,10,5.3333333,6.75,1.375,1.6666667,2.5,0.71428571,2.6521739,3.85,5.3333333
"hs_064","Pasteur",2,13,11,5.3333333,5,1.25,3.3333333,4.5,2.4285714,5.5217391,5.45,5.8333333
"hs_065","Pasteur",2,13,1,3.6666667,5.75,3.625,2.6666667,5,1.4285714,3.3043478,4.5,5.0277778
"hs_066","Pasteur",2,12,11,6.5,6,2.5,3.6666667,4.5,3,5.6956522,5.4,6.3055556
"hs_067","Pasteur",1,14,11,4,9.25,4,3,3.75,1,3.6086957,5.75,6.1944444
"hs_068","Pasteur",2,13,0,4.6666667,5.75,3.625,2.6666667,2.75,1.8571429,3.8695652,6.1,4.25
"hs_069","Pasteur",2,13,9,2.8333333,5,0.875,3,2.5,1.5714286,6.826087,5.7,3.9166667
"hs_070","Pasteur",1,12,8,4.6666667,5,0.75,4.3333333,4,2.7142857,4.7391304,5.95,5.4166667
"hs_071","Pasteur",2,14,2,0.66666667,4.5,0.75,2,3,1,3.6086957,5.5,4.6111111
"hs_072","Pasteur",1,13,3,4.3333333,9.25,3.375,1.3333333,2.25,1.1428571,3.7391304,5.75,5.1666667
"hs_073","Pasteur",1,13,1,5,4.5,2.625,1.6666667,2.75,1.5714286,5.2608696,7.35,5.9722222
"hs_074","Pasteur",1,13,7,5,6,3.25,3.3333333,5.75,2.7142857,3.4782609,4.6,4.2777778
"hs_075","Pasteur",2,12,9,4.1666667,5.25,2.125,3,3.25,0.71428571,3.4782609,5.7,4.5833333
"hs_076","Pasteur",2,13,9,3.8333333,5.25,2.375,1.6666667,2.25,1,3.1304348,5.75,4.6666667
"hs_077","Pasteur",1,12,6,5.6666667,7,2.125,4,4.75,2.2857143,5.6521739,5.7,6.4722222
"hs_078","Pasteur",1,16,7,1.6666667,5.75,1.375,0,1.5,1.1428571,5.6956522,4,5.6388889
"hs_079","Pasteur",2,14,7,6.3333333,5.5,4.125,4,3.25,1.8571429,5.5652174,7.35,5.75
"hs_080","Pasteur",1,14,1,4,5.25,2.5,1,1.5,1.8571429,4.6956522,5.15,5.3333333
"hs_081","Pasteur",1,14,11,4.5,6,1.75,1.6666667,2,1.5714286,5.8695652,6.45,6.0277778
"hs_082","Pasteur",1,13,7,4.6666667,8,4.25,3,4.75,2.4285714,5.1304348,5.75,5.3055556
"hs_083","Pasteur",1,14,5,4.8333333,8.25,2.25,0.33333333,2.25,0.57142857,5.3478261,5.2,5.7777778
"hs_084","Pasteur",2,13,2,4.8333333,6.5,1.75,2.3333333,3.5,0.71428571,5.7826087,5.75,4.9722222
"hs_085","Pasteur",2,14,7,3,5.25,0.625,1,1.5,1,4.9565217,4.85,4.5833333
"hs_086","Pasteur",2,12,11,6.3333333,6.25,2.5,3.3333333,5.75,3.7142857,4.6086957,6.85,5.4722222
"hs_087","Pasteur",2,13,8,5.5,7,2.875,2.6666667,4,0.85714286,4.0869565,5.4,5.9722222
"hs_088","Pasteur",2,13,3,5.3333333,6,2.75,4,5,2.1428571,5.5217391,4.55,5.1388889
"hs_089","Pasteur",2,13,11,3.3333333,7.25,3.25,1.3333333,1.25,0.57142857,3.5652174,5.55,4.8888889
"hs_090","Pasteur",2,13,10,5.5,5,2.25,3.6666667,4.5,1.7142857,4.173913,5.95,6.6666667
"hs_091","Pasteur",1,13,10,4,6.5,2.625,2.6666667,2.75,1.8571429,6.6521739,7.5,5.4444444
"hs_092","Pasteur",2,14,0,3.8333333,6.25,3.375,2,3.75,0.42857143,5.3913043,7.8,6.1111111
"hs_093","Pasteur",1,15,4,5.1666667,4.75,2.125,1,2,1.5714286,3.5652174,6.4,5.7222222
"hs_094","Pasteur",1,13,8,4.3333333,3.5,0.875,2.6666667,3.25,1.1428571,3.6086957,4.8,3.9444444
"hs_095","Pasteur",1,14,10,4.1666667,5.5,0.875,4.6666667,4.75,2.1428571,4.1304348,5.35,3.7777778
"hs_096","Pasteur",1,13,8,5,5.75,4.25,4,4.25,2.4285714,3.5652174,3.6,5.4444444
"hs_097","Pasteur",1,13,4,4.3333333,4.75,0.5,3.3333333,5.75,2.8571429,5.5217391,5.85,4.2222222
"hs_098","Pasteur",2,13,2,7.5,7.5,2.125,5.3333333,6.75,2.7142857,5.1304348,5.55,7.2222222
"hs_099","Pasteur",2,13,11,5,3.75,1.375,1.6666667,2.75,1.4285714,5.5652174,6.1,4.6111111
"hs_100","Pasteur",1,13,4,5.5,6.25,2.75,3.6666667,4.5,3.2857143,4.9130435,5.15,5.75
"hs_101","Pasteur",1,15,3,6.1666667,3.75,4.375,2.6666667,3.25,1,4.2608696,5.3,6.25
"hs_102","Pasteur",2,13,10,6.5,6.5,1.875,3.6666667,3.75,1.7142857,4.5217391,4.4,6.5833333
"hs_103","Pasteur",1,13,3,4.3333333,7.75,1.875,4.3333333,4.5,1.8571429,5.8695652,6.25,4.1111111
"hs_104","Pasteur",1,13,4,4.6666667,5.25,1.625,3.3333333,4.5,2.8571429,3.826087,4.85,4.8333333
"hs_105","Pasteur",1,15,3,6.8333333,9,4.375,2.6666667,5.75,5,3,6.2,6.0277778
"hs_106","Pasteur",2,12,10,4.5,6.5,3.125,2.6666667,5.5,2.1428571,6.3478261,6.5,6.1666667
"hs_107","Pasteur",2,13,5,6.8333333,6.5,0.75,5.3333333,5.75,3.1428571,7.4347826,5.7,5.1944444
"hs_108","Pasteur",2,13,10,5.5,6.75,3.75,2.6666667,2.75,2,4.173913,6.8,7
"hs_109","Pasteur",2,14,5,6.3333333,5.5,1.625,5.6666667,5.5,4,5.6956522,6.4,7.5277778
"hs_110","Pasteur",2,13,3,4.1666667,4.25,2.25,3.3333333,3.5,1.4285714,4.4782609,4.15,3.3611111
"hs_111","Pasteur",1,13,4,5.6666667,9.25,4.375,3.6666667,4.75,3,3.2608696,3.9,4.8611111
"hs_112","Pasteur",2,13,1,6.3333333,5.25,2.625,4.3333333,4.25,1.5714286,2.8695652,6,5.4444444
"hs_113","Pasteur",1,13,4,6.1666667,6.25,4.25,5,3.5,1.8571429,4.5652174,5.35,5.4444444
"hs_114","Pasteur",2,14,0,5.1666667,6.5,1.75,4,5.25,1.8571429,4.6956522,4.3,6
"hs_115","Pasteur",1,14,5,4.1666667,7.5,3.875,1,2,0.85714286,3.5652174,3.95,6.3333333
"hs_116","Pasteur",2,13,1,4.1666667,5.75,1,3.6666667,4.75,1.8571429,4.826087,5.85,5.4166667
"hs_117","Pasteur",1,16,0,5.1666667,5.75,2.5,2.6666667,4.75,2.7142857,5.3043478,6.85,5
"hs_118","Pasteur",1,13,10,4.3333333,5.25,4,3,2.75,1,5.5652174,6.6,6.4444444
"hs_119","Pasteur",1,13,4,3.5,7.25,3.375,2.3333333,2.25,1.1428571,3.6956522,5.2,5.1666667
"hs_120","Pasteur",1,16,5,4.6666667,4.75,1.625,2.6666667,3.25,2,4.0869565,5.55,5.4444444
"hs_121","Pasteur",2,14,4,4.8333333,6,1.5,2.6666667,4.25,1.2857143,5.826087,6.4,6.8611111
"hs_122","Pasteur",1,15,1,5,5.5,2.375,3.3333333,3,2,4.6086957,6.4,3.3055556
"hs_123","Pasteur",2,14,4,7.5,7,4.25,4,6.5,3.5714286,3.7391304,7.6,6.5
"hs_124","Pasteur",2,15,8,5.3333333,5.25,4.125,2.3333333,3.75,1.5714286,3.6521739,5.35,4.7777778
"hs_125","Pasteur",1,14,5,6.1666667,6.75,4.125,3.3333333,5,2.8571429,5,6.9,6.3888889
"hs_126","Pasteur",2,15,4,5.3333333,8.75,3.125,4.3333333,4,1.1428571,4,6.95,5.6666667
"hs_127","Pasteur",2,13,11,4.3333333,7,1,4.3333333,5.5,3,5.1304348,5.65,4.9166667
"hs_128","Pasteur",2,13,11,4.8333333,7,1.125,3.3333333,5,2.2857143,4.9130435,5.25,4.9722222
"hs_129","Pasteur",2,13,4,6,7.5,3.25,3,6,2.4285714,3.3043478,5.1,5.7777778
"hs_130","Pasteur",1,14,1,5,4.5,1.625,2,2.75,0.57142857,4.5217391,6.25,6.3055556
"hs_131","Pasteur",1,13,11,4.1666667,8,4.375,4.3333333,6.25,3.1428571,4.5652174,7.8,7
"hs_132","Pasteur",2,14,1,5.6666667,5.5,3.5,4,4.25,2.2857143,7.2608696,6.35,7.1944444
"hs_133","Pasteur",2,15,3,5,6.25,1.75,1.3333333,2,0.57142857,4.9130435,6,4.8055556
"hs_134","Pasteur",2,13,6,3.5,5.25,2.25,2,3.75,1.8571429,4.6956522,5.25,3.7222222
"hs_135","Pasteur",1,14,7,7.3333333,8,2.625,2.6666667,5,2.4285714,3.4347826,6,6.1666667
"hs_136","Pasteur",1,13,4,6.1666667,7.5,3.625,4,6.25,2.5714286,4.3913043,5.85,6.1111111
"hs_137","Pasteur",1,13,10,4.8333333,5.25,4.5,4.3333333,5.75,2.8571429,3.3478261,5.1,5.4444444
"hs_138","Pasteur",1,13,2,5.6666667,6.25,2.75,3.3333333,5.25,2.1428571,4.4347826,5.15,4.5555556
"hs_139","Pasteur",2,14,2,5.5,6.75,4.5,2.3333333,4.5,2.5714286,6.2608696,6.55,6.8888889
"hs_140","Pasteur",2,14,7,5.1666667,5,2.5,3.3333333,5.75,3,6.4347826,8.3,7.0833333
"hs_141","Pasteur",2,14,0,3.1666667,3.75,1.5,3.3333333,5.75,2.2857143,6.0434783,5.25,6.2222222
"hs_142","Pasteur",2,14,9,5,7.5,4.5,2,1.5,0.42857143,3.3043478,5.25,5.7222222
"hs_143","Pasteur",1,15,0,7.1666667,9,3.875,3.6666667,5.25,4.7142857,3.826087,7.1,5.7777778
"hs_144","Pasteur",2,12,9,7.3333333,6.75,4,6,6.5,6.1428571,5.3478261,5.75,6.6111111
"hs_145","Pasteur",2,15,8,2,5.5,0.625,2.6666667,5,0.85714286,2.3913043,5.6,5.9722222
"hs_146","Pasteur",2,13,6,3.8333333,5.5,1.875,3.6666667,5,3,5.6086957,4.9,3.8611111
"hs_147","Pasteur",2,13,8,4.1666667,6,1.25,4,5,2.5714286,6.9565217,6.25,6.3055556
"hs_148","Pasteur",2,15,8,4.6666667,5.75,1.625,0.66666667,2.5,1.4285714,4.5217391,5,4.75
"hs_149","Pasteur",1,14,4,5.8333333,4.75,2.625,5.6666667,5.5,4.1428571,3.5652174,6.3,5.4722222
"hs_150","Pasteur",1,15,1,6.6666667,5.5,4.375,2.6666667,3.75,1,5.1304348,4.75,5.2222222
"hs_151","Pasteur",1,13,11,6.8333333,7.25,4.25,5,5.75,4.8571429,5.6521739,7.55,6.1666667
"hs_152","Pasteur",1,15,5,5.3333333,4.75,2.625,3,5.5,2.1428571,5.7826087,7.9,6.9444444
"hs_153","Pasteur",1,14,1,4.8333333,5,2.375,3,4.25,2.4285714,5.3913043,7.5,5.4166667
