"subject_id","species","sepal_length","sepal_width","petal_length","petal_width"
"iris_001","setosa",5.1,3.5,1.4,0.2
"iris_002","setosa",4.9,3,1.4,0.2
"iris_003","setosa",4.7,3.2,1.3,0.2
"iris_004","setosa",4.6,3.1,1.5,0.2
"iris_005","setosa",5,3.6,1.4,0.2
"iris_006","setosa",5.4,3.9,1.7,0.4
"iris_007","setosa",4.6,3.4,1.4,0.3
"iris_008","setosa",5,3.4,1.5,0.2
"iris_009","setosa",4.4,2.9,1.4,0.2
"iris_010","setosa",4.9,3.1,1.5,0.1
"iris_011","setosa",5.4,3.7,1.5,0.2
"iris_012","setosa",4.8,3.4,1.6,0.2
"iris_013","setosa",4.8,3,1.4,0.1
"iris_014","setosa",4.3,3,1.1,0.1
"iris_015","setosa",5.8,4,1.2,0.2
"iris_016","setosa",5.7,4.4,1.5,0.4
"iris_017","setosa",5.4,3.9,1.3,0.4
"iris_018","setosa",5.1,3.5,1.4,0.3
"iris_019","setosa",5.7,3.8,1.7,0.3
"iris_020","setosa",5.1,3.8,1.5,0.3
"iris_021","setosa",5.4,3.4,1.7,0.2
"iris_022","setosa",5.1,3.7,1.5,0.4
"iris_023","setosa",4.6,3.6,1,0.2
"iris_024","setosa",5.1,3.3,1.7,0.5
"iris_025","setosa",4.8,3.4,1.9,0.2
"iris_026","setosa",5,3,1.6,0.2
"iris_027","setosa",5,3.4,1.6,0.4
"iris_028","setosa",5.2,3.5,1.5,0.2
"iris_029","setosa",5.2,3.4,1.4,0.2
"iris_030","setosa",4.7,3.2,1.6,0.2
"iris_031","setosa",4.8,3.1,1.6,0.2
"iris_032","setosa",5.4,3.4,1.5,0.4
"iris_033","setosa",5.2,4.1,1.5,0.1
"iris_034","setosa",5.5,4.2,1.4,0.2
"iris_035","setosa",4.9,3.1,1.5,0.2
"iris_036","setosa",5,3.2,1.2,0.2
"iris_037","setosa",5.5,3.5,1.3,0.2
"iris_038","setosa",4.9,3.6,1.4,0.1
"iris_039","setosa",4.4,3,1.3,0.2
"iris_040","setosa",5.1,3.4,1.5,0.2
"iris_041","setosa",5,3.5,1.3,0.3
"iris_042","setosa",4.5,2.3,1.3,0.3
"iris_043","setosa",4.4,3.2,1.3,0.2
"iris_044","setosa",5,3.5,1.6,0.6
"iris_045","setosa",5.1,3.8,1.9,0.4
"iris_046","setosa",4.8,3,1.4,0.3
"iris_047","setosa",5.1,3.8,1.6,0.2
"iris_048","setosa",4.6,3.2,1.4,0.2
"iris_049","setosa",5.3,3.7,1.5,0.2
"iris_050","setosa",5,3.3,1.4,0.2
"iris_051","versicolor",7,3.2,4.7,1.4
"iris_052","versicolor",6.4,3.2,4.5,1.5
"iris_053","versicolor",6.9,3.1,4.9,1.5
"iris_054","versicolor",5.5,2.3,4,1.3
"iris_055","versicolor",6.5,2.8,4.6,1.5
"iris_056","versicolor",5.7,2.8,4.5,1.3
"iris_057","versicolor",6.3,3.3,4.7,1.6
"iris_058","versicolor",4.9,2.4,3.3,1
"iris_059","versicolor",6.6,2.9,4.6,1.3
"iris_060","versicolor",5.2,2.7,3.9,1.4
"iris_061","versicolor",5,2,3.5,1
"iris_062","versicolor",5.9,3,4.2,1.5
"iris_063","versicolor",6,2.2,4,1
"iris_064","versicolor",6.1,2.9,4.7,1.4
"iris_065","versicolor",5.6,2.9,3.6,1.3
"iris_066","versicolor",6.7,3.1,4.4,1.4
"iris_067","versicolor",5.6,3,4.5,1.5
"iris_068","versicolor",5.8,2.7,4.1,1
"iris_069","versicolor",6.2,2.2,4.5,1.5
"iris_070","versicolor",5.6,2.5,3.9,1.1
"iris_071","versicolor",5.9,3.2,4.8,1.8
"iris_072","versicolor",6.1,2.8,4,1.3
"iris_073","versicolor",6.3,2.5,4.9,1.5
"iris_074","versicolor",6.1,2.8,4.7,1.2
"iris_075","versicolor",6.4,2.9,4.3,1.3
"iris_076","versicolor",6.6,3,4.4,1.4
"iris_077","versicolor",6.8,2.8,4.8,1.4
"iris_078","versicolor",6.7,3,5,1.7
"iris_079","versicolor",6,2.9,4.5,1.5
"iris_080","versicolor",5.7,2.6,3.5,1
"iris_081","versicolor",5.5,2.4,3.8,1.1
"iris_082","versicolor",5.5,2.4,3.7,1
"iris_083","versicolor",5.8,2.7,3.9,1.2
"iris_084","versicolor",6,2.7,5.1,1.6
"iris_085","versicolor",5.4,3,4.5,1.5
"iris_086","versicolor",6,3.4,4.5,1.6
"iris_087","versicolor",6.7,3.1,4.7,1.5
"iris_088","versicolor",6.3,2.3,4.4,1.3
"iris_089","versicolor",5.6,3,4.1,1.3
"iris_090","versicolor",5.5,2.5,4,1.3
"iris_091","versicolor",5.5,2.6,4.4,1.2
"iris_092","versicolor",6.1,3,4.6,1.4
"iris_093","versicolor",5.8,2.6,4,1.2
"iris_094","versicolor",5,2.3,3.3,1
"iris_095","versicolor",5.6,2.7,4.2,1.3
"iris_096","versicolor",5.7,3,4.2,1.2
"iris_097","versicolor",5.7,2.9,4.2,1.3
"iris_098","versicolor",6.2,2.9,4.3,1.3
"iris_099","versicolor",5.1,2.5,3,1.1
"iris_100","versicolor",5.7,2.8,4.1,1.3
"iris_101","virginica",6.3,3.3,6,2.5
"iris_102","virginica",5.8,2.7,5.1,1.9
"iris_103","virginica",7.1,3,5.9,2.1
"iris_104","virginica",6.3,2.9,5.6,1.8
"iris_105","virginica",6.5,3,5.8,2.2
"iris_106","virginica",7.6,3,6.6,2.1
"iris_107","virginica",4.9,2.5,4.5,1.7
"iris_108","virginica",7.3,2.9,6.3,1.8
"iris_109","virginica",6.7,2.5,5.8,1.8
"iris_110","virginica",7.2,3.6,6.1,2.5
"iris_111","virginica",6.5,3.2,5.1,2
"iris_112","virginica",6.4,2.7,5.3,1.9
"iris_113","virginica",6.8,3,5.5,2.1
"iris_114","virginica",5.7,2.5,5,2
"iris_115","virginica",5.8,2.8,5.1,2.4
"iris_116","virginica",6.4,3.2,5.3,2.3
"iris_117","virginica",6.5,3,5.5,1.8
"iris_118","virginica",7.7,3.8,6.7,2.2
"iris_119","virginica",7.7,2.6,6.9,2.3
"iris_120","virginica",6,2.2,5,1.5
"iris_121","virginica",6.9,3.2,5.7,2.3
"iris_122","virginica",5.6,2.8,4.9,2
"iris_123","virginica",7.7,2.8,6.7,2
"iris_124","virginica",6.3,2.7,4.9,1.8
"iris_125","virginica",6.7,3.3,5.7,2.1
"iris_126","virginica",7.2,3.2,6,1.8
"iris_127","virginica",6.2,2.8,4.8,1.8
"iris_128","virginica",6.1,3,4.9,1.8
"iris_129","virginica",6.4,2.8,5.6,2.1
"iris_130","virginica",7.2,3,5.8,1.6
"iris_131","virginica",7.4,2.8,6.1,1.9
"iris_132","virginica",7.9,3.8,6.4,2
"iris_133","virginica",6.4,2.8,5.6,2.2
"iris_134","virginica",6.3,2.8,5.1,1.5
"iris_135","virginica",6.1,2.6,5.6,1.4
"iris_136","virginica",7.7,3,6.1,2.3
"iris_137","virginica",6.3,3.4,5.6,2.4
"iris_138","virginica",6.4,3.1,5.5,1.8
"iris_139","virginica",6,3,4.8,1.8
"iris_140","virginica",6.9,3.1,5.4,2.1
"iris_141","virginica",6.7,3.1,5.6,2.4
"iris_142","virginica",6.9,3.1,5.1,2.3
"iris_143","virginica",5.8,2.7,5.1,1.9
"iris_144","virginica",6.8,3.2,5.9,2.3
"iris_145","virginica",6.7,3.3,5.7,2.5
"iris_146","virginica",6.7,3,5.2,2.3
"iris_147","virginica",6.3,2.5,5,1.9
"iris_148","virginica",6.5,3,5.2,2
"iris_149","virginica",6.2,3.4,5.4,2.3
"iris_150","virginica",5.9,3,5.1,1.8
